spec_id,cell_name,patched_cell_container,nwb_id,Cortical_layer,broad_class_label,cell_type,Transcriptomic_type,hyperpol.decay_time_constant_after_stim,hyperpol.sag_amplitude,hyperpol.steady_state_voltage,hyperpol.steady_state_voltage_stimend,hyperpol.voltage_base,depol.AHP1_depth_from_peak,depol.AHP_depth,depol.AHP_time_from_peak,depol.AP1_peak,depol.AP1_width,depol.Spikecount,depol.decay_time_constant_after_stim,depol.depol_block,depol.inv_first_ISI,depol.mean_AP_amplitude,depol.steady_state_voltage,depol.steady_state_voltage_stimend,depol.time_to_first_spike,depol.voltage_base,slope,intercept
839897427,H19.06.351.11.16.01.01,P1S4_190321_002_A01,839897299,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,7.299945349182742,17.67182321273205,-62.43169108844709,-90.23443535990437,-66.4302886314024,81.44343216190904,21.414153320842814,1.900000000000432,34.499680828534686,0.648602046356113,25,16.45773816238203,1.0,59.88023952094447,69.13784708071599,-70.37199665724152,-42.14868411031551,22.53999328621296,-68.35790465421717,391.08635097493044,0.02
839918826,H19.06.351.11.16.01.03,P1S4_190321_003_A01,839918580,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,15.873566948950165,0.4200470718009086,-51.54670044823225,-93.386204454078,-50.740114023029726,79.62374149352918,6.257460267181031,2.9000000000006594,35.17372358533812,0.7429343927650157,32,1.8447091547947327,1.0,48.78048780486696,63.943919172382174,-52.69232838261741,-36.831724329982535,6.939993286209415,-50.707478175372096,134.2686002522068,-0.11
840146916,H19.06.351.11.16.02.06,P2S4_190321_056_A01,840146894,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,13.056912630907966,1.1912794827046866,-65.38892983315554,-94.0774659396586,-65.65725752088623,66.83695538762929,22.07275716460675,1.6000000000003638,24.699443192908216,0.6205646109662162,31,11.440761102230889,1.0,131.57894736839114,58.71967708306648,-65.83326942262123,-38.08482384334276,15.339993286211325,-64.21026935932782,480.0,0.03
653907140,H17.03.016.11.15.07,P8S4_171219_359_A01,653907127,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,17.526744484554694,4.240442595671439,-58.98400609099655,-108.35330740432856,-59.96188379611819,75.22028868643584,12.152819839130395,2.5999999999976353,25.47028868643584,0.8081495487613459,57,2.614309258073258,1.0,99.00990099018905,59.62851087650931,-67.30034166713425,-41.16181268339648,5.939993286302524,-61.902819839130395,237.84634760705288,-0.11
721688585,H18.03.313.11.06.01.05,P8S4_180718_354_A01,721688570,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,20.564682927919428,9.786713591449399,-62.401400968680406,-114.96340550162572,-64.72506313097257,93.06392434866326,10.214317215224312,1.4999999999986358,40.97061260980156,0.6644645892860777,71,4.394773532495142,1.0,126.58227848112779,62.30412171727446,-72.07246635484843,-35.269924786922374,4.939993286303434,-62.30762895408601,229.8813056379822,-0.11
811837476,H19.03.302.11.15.01.03,P8S4_190122_353_A01,811837270,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,16.926626334203437,1.742554336492546,-59.847383184620455,-93.30119261174964,-60.98061435872734,87.81629788541052,12.807600621813883,1.7000000000003865,40.91004312282894,0.6937357932121142,24,14.808854490684773,1.0,61.72839506171436,71.05572831406688,-62.1220100636003,-37.529547298479635,21.839993286212803,-59.713855384395465,384.2105263157894,0.02
832614788,H19.03.305.11.10.01.07,P8S4_190305_357_A01,832614721,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,15.25005766494322,4.7685015640696236,-60.10353508031396,-108.90022252067575,-61.03146714842705,81.86327812048279,17.050746905233865,2.4000000000005457,39.13202640500735,0.743789430145799,29,10.152438755047205,1.0,50.76142131978541,65.74661466518614,-62.00290815525109,-32.19625550468531,15.339993286211325,-59.781998620709295,421.77419354838713,0.02
835572687,H19.03.306.11.12.01.01,P8S4_190311_351_A01,835572569,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,17.07237196559931,3.4785486868743902,-59.60525187577031,-109.81520302395761,-60.85012350255777,90.65594131557452,8.599279223194074,1.900000000000432,37.35595065113988,0.6376313980330203,50,8.158212436767906,1.0,64.93506493505016,70.23756326159784,-66.82151733764762,-42.62594420086904,9.439993286209983,-61.89926988762871,273.3465608465608,-0.11
835648767,H19.03.306.11.12.01.05,P8S4_190311_355_A01,835648738,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,19.67811138300606,5.2607350275785905,-69.85038519834109,-154.3892484041055,-70.30966032997844,71.75155958122399,19.561805908589605,2.2000000000005002,20.514042301474294,0.7860208085657215,51,14.019619601156457,1.0,92.59259259257153,63.31541123221489,-76.01211095190767,-43.309376513040185,12.039993286187837,-70.7993231883393,508.1749049429657,-0.03
839950125,H19.06.351.11.06.01.02,P8S4_190321_353_A01,839950047,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,15.798380074363063,0.9656166801122623,-69.27175372829403,-111.34684710246809,-69.77784221353782,86.88894321517674,22.971801208096863,1.500000000000341,40.05769397811619,0.647641822112371,21,12.416617519028676,1.0,86.20689655170453,72.81753632926306,-72.50962117667987,-38.76446769125434,19.839993286212348,-69.80305044515741,321.9512195121951,0.03
839970928,H19.06.351.11.06.01.03,P8S4_190321_354_A01,839970836,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,14.779083865578468,0.935943563197398,-64.4735406303242,-95.52026851331868,-65.21034208076055,62.68778600897522,23.788946194380436,1.8000000000004093,21.100348134218496,0.726254655596954,28,13.15677025198994,1.0,147.05882352937832,60.34144745615966,-67.58168450817988,-39.65474643240131,18.539993286212052,-65.37638406913716,386.7647058823529,0.03
880352738,H19.06.356.11.07.02.03,P8S4_190603_352_A01,880352701,1.0,GABAergic neuron,LAMP5PAX6Other,Inh L1-2 PAX6 CDH12,17.604771002058285,1.8445052544291656,-68.06647741369756,-111.95548540534284,-67.92245679550075,77.0690104505569,14.314099783573248,1.500000000000341,23.337768289861625,0.6748158779383349,39,10.27246755079569,1.0,87.71929824559409,64.36228756819861,-69.82590768143356,-44.864835495195194,10.939993286210324,-68.04534194426853,593.9965694682676,0.01
